often	keyword	no	sex	age	occupation	town	area	stay	expression	count
28	復興	957	女性	50	2,8	浪江町	2	県内	伝えたいことがうまく書けません。ピントはずれのことばかり書いたようですみませんでした。一時帰宅するたびに悲しくなります。避難先ではいろいろな会に参加したり、習いごとを増やしたり、暇なときはパートに出たりと毎日忙しくしています。先が見えない不安を忘れようと動いているのかもしれません。先祖から受け継いだ旅館、４代目でこんなことになるなんて…。申し訳なく思い、立ち入るときは玄関のガラスを磨いたり、きれいにして来ます。またまだ線量が高いので生きているうちに戻れないことでしょう。子どもたちは子育て中。福島には帰省しません。悲しいです。これから１０年後、町の姿はどうなっているのでしょうか？　<span class="selected">復興</span>が進んでいるとよいのですが。	309
28	土地	1129	女性	70	8	富岡町	3	県内	とにかく町には戻れない。戻るつもりはありません。<span class="selected">土地</span>は国に買い上げてもらいたいです。４つの自治体が（富岡、大熊、双葉、浪江）合併して１つの大きな町にしたらどうでしょうか。	85
27	原発	1185	女性	50	8	双葉町	1	県外	<span class="selected">原発</span>の被災者は東電からお金をもらっていることで、周りからよく思われていないため、肩身の狭い思いをするのがいやです。よく悪口を言われたと言う話を聞きます。気を遣わない生活がしたいです。	91
25	ふるさと	1176	女性	70	2	富岡町	4	県内	いわき市、双葉郡、相馬と一つになって前に進み、それぞれ補償など当てにしないで、どうしたら自立できるのかを考えるときではないかと思います！！　長年住み慣れた<span class="selected">ふるさと</span>に帰りたくないと思う人などいないと思います。帰れる場所、ふるさとを何十年かかっても作るべきと考えます！！	133
24	不安	1031	女性	50	4	富岡町	2	県外	福島県内の土地高騰、あつれきのため、やむなく県外に土地を購入しましたが、縁もゆかりも知人もない所なので<span class="selected">不安</span>があります。どうしてもなじめない場合は、１０年先だろうと元の家に戻るという選択肢もあると思い決断しました。線量は年々下がっていくもので、さほど恐怖感はありませんが、生活できる最低限のものには復旧して欲しい。	156
24	場所	1166	女性	60	4	浪江町		県外	いちばん心配していることは、帰還することを望んでいても、若い方々は別の<span class="selected">場所</span>で仕事や住むことに決意し、残る人たちは老人ばかりになること。それでは町が自立できるでしょうか。	84
20	住民	1155	女性	60	7	浪江町	4	県外	帰還を望む<span class="selected">住民</span>のために安心して暮らせるように、インフラ始め、住居、店、学校、病院を整える当然のことである。それまでに住民の意見を時間をかけてまとめ、意向に沿った形で実現に向けてほしい。	92
19	時間	989	女性	70	2,6	浪江町	4	県内	もう少し若いといろいろ考えられますが、年齢が年齢だけに浪江にも帰りたいけど、<span class="selected">時間</span>がないです。	46
19	東京電力	1085	女性	50	8	浪江町	4	県外	被災して４年が経過している現在において、国、また、県、そして、町行政において、今後の将来の見通しが全く見えず。今後の生活、そして、これからの将来においては「不安」しかありません。今後の展望の情報を切に望みます。<span class="selected">東京電力</span>の賠償については、被災者の負担への配慮がみられない対応と賠償額で、今後の人生再建が困難な状況にあります。自然災害でない今回の事故においては、被災者対応も東電任せの賠償対応でなく、国が政府が被災者の元の生活が補償される賠償対応をするべきではないかと思います。世間では多々事故事件により、原発事故後の報道なども少なくなってきていますが、被災者間では、声にならない「想い」が募るばかりで何も改善されていない。閉塞感が充満している現在です。１日も早く将来の住居の方向性が決まり、また、町とのつながり感を継続した毎日になって欲しいです。	372
18	仮設	539	女性	70	2	富岡町		県内	国、東電の補償の仕方など、差別があり、みんな、人格が変わってきた感じがあり、<span class="selected">仮設</span>に住んでいても、だんだんと交流が薄れていきます。格差社会がだんだんと深くなっていくような気がします。知らない人に気を遣うのも、ときどき、心が折れそうになります。高齢者になるほど、そう感じられます。	138
18	事故	1153	女性	50	10	浪江町	4	県内	帰れるものなら自宅に帰って暮らしたい。しかし、原発の<span class="selected">事故</span>が収束していない。原発<span class="selected">事故</span>の対応に対して、東電がお手上げ状態である以上は、帰宅して安全に暮らすことは不可能です。東電も国も信頼できない。原発も中間貯蔵施設も東京に持って行ってほしい。町を元の姿に戻してほしい。避難先では、偏見の目で見られたり差別的な発言をされたり、二重の苦しみを味わっている。今後安心して暮らせる場所などない。町を元に戻してほしい。	202
17	現在	1000	女性	70	10	浪江町	3	県内	年が年だけにあせるだけです（<span class="selected">現在</span>８４歳）。	21
17	帰還	1175	女性	70	8	富岡町	3	県内	富岡町は２９年度に<span class="selected">帰還</span>宣言をしたのだから、それに向けて進めてほしい。自宅に住める状態ではないので、復興住宅を希望する人も多数いる。特に高齢者は住宅を建てる体力がない。若い人たちの中にも新居を建てるだけの資金のない人も多いと思う。役場が戻るのと同時に復興住宅、災害住宅を作ってほしい。富岡駅周辺をいち早く復興すること。	158
17	みんな	1078	女性	40	10	大熊町		県内	大熊町はつぶせ。すべて国が買い取れ。個人個人に賠償を。そのとおり、金目なんです。石原大臣の言うとおり。おかしいよ。バラバラじゃん。最終処分場にしていいよ。他県を汚すな。国民<span class="selected">みんな</span>の意見聞くべき。国だけで決めるな。もちろん住民の意見を聞け。	119
16	自宅	823	女性	70	シルバー人材	双葉町	4	県内	早急に<span class="selected">自宅</span>復興をお願いします。私たち年老いていくので。	27
16	補償	1043	女性	70	8	双葉町	1	県外	この先の<span class="selected">補償</span>が心配です。老いているので、早くいろいろの面で解決してほしいものです。	41
16	自分	816	女性	50	2	双葉町	2	県内	ふるさとに帰れない思いはみんな抱えながらも、同時に１日でも早く普通の生活（一般住宅、迷いのない生活）をしたいと考えていると思います。そのためには、早く、町として、県・国として、<span class="selected">自分</span>たちの町の将来像をはっきりと示してほしいと思います。	116
15	仕事	860	女性	40	10	浪江町		県内	避難で<span class="selected">仕事</span>を失った。生活が変わってしまった。賠償金でローンは払った。でも、家を建てる余裕はない。<span class="selected">仕事</span>を失い、今後の生活を考えると賠償金の残りを家を作る費用にはまわせない。怖い。子どもたちは浪江に帰れないという。自分たちは、子どもが独立した何十年先にはきっと、誰も周りに住んでいない浪江の家に帰るしかないだろうと最近は考えている。あまり嬉しさはない。その頃、少しでも住民が戻ってる町だといいけど。	197
15	安心	590	女性	70	10	浪江町	3	県内	３年９か月も過ぎてから、仮の町や町外コミュニティ、セカンドタウンなど聞かれても、家を新築してしまった今となっては、答えに困ります。もっと早くアンケートを出してほしかった。老齢ですので、<span class="selected">安心</span>して暮らせるよう援助してほしい。	110
15	富岡町	1152	女性	30	8	浪江町	1	県内	<span class="selected">富岡町</span>の桜は大切に残してほしい。	16
14	毎日	800	女性	30	8	富岡町	3	県内	避難者というと生活しづらい今の土地…。補償をもらっている、免除されているものが多い（高速・医療・税金）ため、地元の方からの目が怖い。避難者と知られないように生活している<span class="selected">毎日</span>です。	89
14	区域	765	女性	60	3	浪江町	4	県内	現在、避難指示解除準備<span class="selected">区域</span>になっていますが、放射線は高いです。帰還困難<span class="selected">区域</span>でも低い所もあるのに金額に差があります。帰れないのは同じなのに。	69
14	母	810	女性	50	8	浪江町	3	県内	白河市に建売住宅を購入し、３年目になります。隣り組にまだ入っていなくて（まだ浪江町からお知らせやさまざまな連絡入ってくるので不便を感じないため）不満げな態度を取られます。私自身どうしていくのがよいのか日々変わります。夫と義<span class="selected">母</span>と私、３人でいるうちは浪江にいるときと変わらない日常です。車を運転することもできるし、老化する以外は不安はないと思っています。漠然と不安な日常はあるけれど、生きていかなくてはと思っています。	207
14	家族	95	女性	40	8	浪江町	4	県外	県外から県内に戻りたいと思っていますが、復興住宅の遅れなどで、<span class="selected">家族</span>が離ればなれです。仮設住宅も雨風がしのげるだけで、月に数回泊まるのが、いまだにストレスを感じ、夏はゴキブリやムカデなどの虫が発生するようになり、最悪です。それでも、一向に進まない復興住宅に望みをかけています。	137
14	気持ち	1037	女性	70	8	浪江町	3	県内	先の見えない生活にどうしたらいいのか、毎日涙の流れない日はありません。本当の<span class="selected">気持ち</span>をはっきりと言ってほしい。「できないことはできない。できることはできる」と、そのほうが<span class="selected">気持ち</span>が楽になります。	95
14	大熊町	705	女性	40	8	大熊町	2	県内	新しい家を購入する前にもセカンドタウンの構想が知りたいです。<span class="selected">大熊町</span>にも行きやすくて、交通の便もよく安全・安心なところに住みたいです。	66
13	困難	1060	女性	70	1	浪江町		県外	「二重住民票」の制度は大きな混乱と高齢者などには理解<span class="selected">困難</span>な点が生じると思う。また、「準市民制度」には概ね理解できるところがある。しかし、納税などにおける優遇的扱いで元の住民との間に問題の生ずる懸念がある。	102
13	希望	365	女性	60	10	浪江町	4	県内	なんの<span class="selected">希望</span>もない。	9
13	主人	553	女性	40	5	浪江町	3	県内	我が家は小学生、中学生の子どもがいるため、まだ全く安定していない原発の近くに戻るということは考えていません。一刻も早く落ち着いた生活にしたい。家に住みたいと思いますが、子どもの学校や<span class="selected">主人</span>の仕事などいろいろあるので、現状維持するしかありません。	121
13	賠償	1055	女性	70	7	浪江町	4	県内	国の姿勢が変わらなければ将来はないと思っている。お金で償うという<span class="selected">賠償</span>では何ができますか？　こう言っても４年近く、何も答えは返ってこないのです。意見要望は何になっているのでしょう。上からの意見要望は説明するだけで押し付けです。その証拠を突き止めてください。解決できない原因はそこにあります。「帰りたい、帰りたくないわけはなし、帰りたいのに帰れない」とは国の理不尽、東電の不誠実、メディアのご都合、嫌というほど思い知らされました。誰を信用すればよいのですか？　つまりは自己判断でしかないのですか？　この原発事故は何ですか？　庶民の自己責任で片付けるのですか？　質問にお答えください。いつでも協力いたします。	301
13	どこ	805	女性	30	8	浪江町	2	県外	もうそろそろ家を買って落ち着きたい年齢だが、もう福島へ行かないと決めていても踏ん切りがつかない。<span class="selected">どこ</span>かフワフワとして、根もなく行き場もないような気がする。	77
13	いわき市	866	女性	40	3	大熊町	1	県内	就職して仕事がしたいのに「賠償金もらってるのになぜ仕事するのか」とか、通院して会計窓口で医療費無料ということで、近くにいた小さな女の子が「あの人、なぜただなの」と、母親が「避難者だから」と答え、私は医療費を払ってもよいと思っていても、制度だから行く先々で辛い肩身の狭い思いをしています。特に<span class="selected">いわき市</span>では反感を持っている人は多くいます。間違っても被災者だと言うと、殺されるという人もいるくらいです。まるで犯罪者扱いです。毎日、小さな仮設の部屋で息を殺して生きています。	233
12	暮らし	851	女性	70	10	富岡町	3	県内	残り少ない人生、富岡の人々人たちと楽しく<span class="selected">暮らし</span>ていきたい。７９歳なります。来年。	40
12	状態	984	女性	50	8	浪江町	4	県内	早く居住先を決めたいが、戻れるか戻れないのか分からない。今の<span class="selected">状態</span>では、何もすることができないので、将来に不安ばかりが残る。若い人たちが戻ってこないようなことになれば、私たちだけが戻っても、町はまた、さびれていくいのではないか不安である。このままの生活が続いていけば、精神的な病気になりそうです。	147
11	心配	578	女性	70	10	浪江町	3	県内	借り上げ住宅制度が終わった場合、どうなるのかが<span class="selected">心配</span>になります。最初は災害復興住宅に入りたいと思っておりましたが、交通の便利なところが少なく、１人暮らしでは心配なことがあって、迷ってしまいました。１人暮らしでも安心して入居できるような場所を、浪江町で作っていただければうれしいです。	140
11	入居	414	女性	60	10	大熊町	2	県内	私は復興住宅に<span class="selected">入居</span>しますが、町の情報など、こまめに教えてほしいです。	34
11	大変	883	女性	60	7	双葉町	2	県内	当事者は本当に<span class="selected">大変</span>です。ほかの自治体の方々は、今までの生活、制度がそのまま続いて、変化なく生活できるあたり前の生活がうらやましいです。この年齢になって初めて聞いたことばも多くありました。どちらを選択されますか。それこそ簡単に考えられることではなく、どれがいいのか高年者には即、考えがつきません。仮設生活では、何をしても、考えても、本当ではないのだ。仮のことなのだとすぐ思ってしまい、楽しくない日々です。分かっていただきたい。	212
11	姿	1162	女性	70	10	双葉町	2	県内	元の<span class="selected">姿</span>に戻すことを諦めず続けてほしい。税の優遇、高速道路無料、医療費無料、続けてほしい。	44
11	双葉町	496	女性	70	8	双葉町		県内	新居を構えましたが、ふるさと<span class="selected">双葉町</span>は捨てることができません。ときどき、様子を見に帰りたいので、しっかり除染をしていただきたいです。	65
10	近く	692	女性	40	10	浪江町	4	県内	近くにできる復興住宅に入れればと思います。何年先になるか不安です。家族は遠く離れています。町の方々と一緒に<span class="selected">近く</span>住めればいいのかなと思います。	70
10	心	788	女性	60	10	浪江町	2	県外	長年住んでいた大好きな浪江の元の生活に戻りたくとも無理なことは分かってますが、季節ごとにいろいろな思い出に慕っては<span class="selected">心</span>を痛める毎日です。高齢になると１年が貴重で、体力のあるうちに早く落ち着いた生活がしたいです。帰宅するたびに朽ち果てた自宅を見ることが切なく、いつも涙ながらに後にします。	142
10	災害	538	女性		10	富岡町	2	県内	ふるさとの近い所に<span class="selected">災害</span>復興公営住宅を建ててほしい。子どもが震災前から勤めていた所に通っているから。	49
10	いつまでも	852	女性	40	3	浪江町		県外	私はもう新しい土地で再出発するつもりで準備しています。町の再建にはあまり期待はしていません。というか、<span class="selected">いつまでも</span>避難民でいることは、<span class="selected">いつまでも</span>自立できないと、周りの日本国民が私たちをどう見ているのかと思っているのか。もう、ふるさとに帰還するより、これからの土地で新しい人脈を作りつつ、ふるさとでの人と人との関係も大切にしていけたらと思います。町を再建するために国民の税金を無駄使いするのであれば、本当に私たちのことを思うのであれば、１人１人に分配し、１日も早く自立でき、再出発できる応援をしていただきたい。	253
10	除染	730	女性	50	8	浪江町	3	県内	早く広い所に移りたい。<span class="selected">除染</span>をされた土地がよりよい形で活用されるよう願います。	38
10	必要	543	女性	60	8	浪江町	4	県外	便利な所に住んでいると、なかなかその場所より移動したり、転居する勇気が消えてしまいますが、私自身、不便な土地に現在住んでいますと、時間も労力も工夫して、身体を動かすことに喜びと、ものを作る喜びがあり、充実した生活と考えます。ものづくりの方と接しておりますと、尊敬するくらい働いており、高齢者の皆さまも元気で、介護の<span class="selected">必要</span>もなく、生き生きして笑顔がすてきです。人間本来の姿かと思います。何よりも親切で、たぶん、質素な暮らしがよいのでしょう。頭が下がります。昔に戻る夢は、また、新しくして考えなくてよいのでは。	252
10	夫	449	女性	70	10	双葉町		県内	私たちは年老いていますので、今はきょうを生きることが精一杯です。こういったことに対しては、残念で仕方ありませんが、原発開設以来、町も十分に潤った時代を考えると、しかたのないことと思っております。<span class="selected">夫</span>８８歳。妻８０歳。	107
10	残念	726	女性	60	8	浪江町	3	県内	毎日むなしいやるせない気持ちで生活しています。犬が６匹いるので迷惑にならないように山のほうに住んでいます。買い物も３０分以上かかります。何と言っても分かってもらえないのがとても<span class="selected">残念</span>です！みんな人ごとですから…。自分のことは自分でと思っています。失ったものはたくさんありますが、得たものも少しはあります。役場の人たちには感謝しています。（当初も今も）将来は車を使わずに生活できる便利な所に住みたいです。町には戻るつもりはないです。戻りたいのは年寄りばかりで、戻っても若い人が戻らないので無理かと…！	248
